SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
020011.52-093126.1 0.3605 18.071 0.028 17.968 0.028 18.045 0.041 18.055 0.019 17.450 0.027  0.000 -1.494 -23.248
020012.05-002755.1 1.5567 19.287 0.042 19.178 0.025 19.079 0.025 18.859 0.022 18.873 0.037  0.000 -9.000 -25.974
020012.44-081412.3 0.3245 19.982 0.045 19.312 0.024 18.604 0.037 18.389 0.056 17.986 0.027  0.000 -9.000 -22.663
020013.95+141704.4 1.6545 20.594 0.053 20.238 0.024 20.088 0.029 19.710 0.028 19.857 0.096 -1.000 -9.000 -25.320
020017.88+143630.0 1.2939 20.465 0.069 20.501 0.027 20.113 0.028 20.078 0.036 20.228 0.130 -1.000 -9.000 -24.372
020020.48+135143.3 0.8779 20.654 0.055 20.344 0.024 20.192 0.028 20.220 0.038 20.260 0.177 -1.000 -9.000 -23.331
020021.50+010629.5 0.7304 21.593 0.142 20.862 0.038 20.713 0.039 20.618 0.048 20.101 0.099  0.000 -9.000 -22.401
020021.63-001301.8 1.4103 20.177 0.051 20.040 0.043 19.411 0.019 19.352 0.025 19.423 0.055  0.000 -9.000 -25.251
020022.01-084512.0 1.9433 19.146 0.032 19.041 0.022 18.740 0.024 18.333 0.016 18.114 0.037 14.177 -9.000 -27.012
020023.13-095038.7 1.5658 19.114 0.029 18.835 0.032 18.733 0.026 18.534 0.016 18.554 0.039  0.000 -9.000 -26.317
020023.27+130438.8 1.8628 19.979 0.040 19.902 0.020 19.979 0.035 19.707 0.038 19.571 0.087 -1.000 -9.000 -25.630
020024.11+000535.6 0.3937 19.602 0.036 19.374 0.016 19.288 0.024 19.081 0.025 18.746 0.040  0.000 -9.000 -22.448
020025.05-001314.3 1.6993 20.001 0.047 19.882 0.043 19.926 0.022 19.693 0.027 19.581 0.062  0.000 -9.000 -25.348
020025.51+143120.2 1.8399 18.937 0.029 18.724 0.016 18.617 0.014 18.335 0.019 18.259 0.029 -1.000 -9.000 -26.944
020025.75-005119.1 1.9498 19.790 0.034 19.753 0.040 19.624 0.027 19.463 0.024 19.458 0.058  0.000 -9.000 -25.896
020028.37-093859.0 0.3210 19.249 0.043 19.027 0.023 18.743 0.036 18.742 0.028 18.353 0.042  0.000 -9.000 -22.285
020028.60+000818.7 1.6773 20.701 0.073 20.359 0.023 20.292 0.030 19.994 0.032 20.004 0.105  0.000 -9.000 -25.023
020029.88+142511.9 0.4818 20.589 0.053 20.162 0.023 19.949 0.028 19.599 0.027 19.287 0.061 -1.000 -9.000 -22.470
020032.24-003155.8 0.3801 20.022 0.055 19.817 0.027 19.490 0.027 19.313 0.024 18.802 0.036  0.000 -9.000 -22.122
020032.25-100210.8 1.3771 18.869 0.019 18.802 0.028 18.562 0.025 18.514 0.029 18.597 0.053  0.000 -9.000 -26.030
020033.47+002621.2 2.8537 21.440 0.160 20.340 0.026 20.063 0.030 19.959 0.030 19.979 0.083  0.000 -9.000 -26.262
020034.97-002125.7 1.0417 19.330 0.036 19.023 0.040 18.690 0.017 18.619 0.022 18.469 0.031  0.000 -9.000 -25.262
020036.63-095935.9 0.4892 20.608 0.066 19.992 0.033 19.374 0.029 18.764 0.030 18.371 0.052 15.974 -9.000 -23.278
020036.79+123155.1 1.9683 20.544 0.059 20.476 0.037 20.281 0.029 19.984 0.041 19.763 0.090 -1.000 -9.000 -25.509
020038.67-005954.5 0.2530 18.712 0.027 18.407 0.026 18.243 0.036 18.347 0.019 18.103 0.029  0.000 -9.000 -22.121
020038.81+010224.8 1.6427 21.283 0.119 20.924 0.035 20.600 0.032 20.183 0.035 20.177 0.115  0.000 -9.000 -24.779
020039.15-084554.9 0.4320 18.074 0.040 17.781 0.017 17.845 0.021 17.711 0.015 17.649 0.029  0.000 -9.000 -24.028
020040.02+144652.0 1.8122 18.804 0.024 18.766 0.017 18.747 0.018 18.432 0.016 18.360 0.034 -1.000 -9.000 -26.809
020040.92+001100.5 1.3147 19.819 0.040 19.713 0.018 19.535 0.025 19.545 0.028 19.710 0.081  0.000 -9.000 -24.895
020044.50+122319.0 1.6553 18.570 0.018 18.261 0.024 18.072 0.016 17.800 0.018 17.749 0.024 -1.000 -9.000 -27.313
020046.46+132018.9 0.8820 19.163 0.026 18.885 0.022 18.648 0.012 18.689 0.024 18.640 0.037 -1.000 -9.000 -24.855
020047.37+003110.1 1.6164 18.684 0.022 18.605 0.018 18.548 0.025 18.395 0.018 18.412 0.028  0.000 -9.000 -26.525
020048.27+143809.4 1.5686 19.127 0.032 18.832 0.016 18.623 0.014 18.402 0.019 18.370 0.030 -1.000 -9.000 -26.505
020049.47+132828.8 1.3091 19.477 0.026 19.385 0.022 18.945 0.018 18.957 0.024 19.020 0.058 -1.000 -9.000 -25.535
020052.07-002530.3 1.2175 19.408 0.036 19.531 0.025 19.080 0.044 19.038 0.031 19.308 0.053  0.000 -9.000 -25.217
020054.09+140102.4 1.2420 20.299 0.048 20.113 0.020 19.552 0.021 19.208 0.023 18.850 0.054 -1.000 -9.000 -25.191
020055.13+010453.0 1.1108 19.333 0.030 19.068 0.027 18.730 0.018 18.788 0.020 18.792 0.038  0.000 -9.000 -25.243
020055.28-002807.8 1.6032 20.109 0.052 19.977 0.027 19.874 0.047 19.743 0.034 19.764 0.072  0.000 -9.000 -25.162
020056.01+002926.7 2.1636 20.465 0.055 20.198 0.026 20.290 0.035 20.248 0.038 19.916 0.086  0.000 -9.000 -25.347
020056.20-094006.8 0.2172 19.157 0.040 18.838 0.031 18.539 0.034 18.099 0.031 18.234 0.036  0.000 -9.000 -22.004
020059.69-003637.3 1.0646 18.962 0.030 18.785 0.024 18.414 0.044 18.482 0.030 18.574 0.039  0.000 -9.000 -25.449
020103.08+122728.0 1.6526 19.794 0.034 19.280 0.025 18.999 0.018 18.681 0.020 18.505 0.035 -1.000 -9.000 -26.431
020103.41+125756.2 0.9931 19.268 0.029 18.964 0.019 18.591 0.021 18.527 0.017 18.300 0.029 -1.000 -9.000 -25.320
020103.65-100646.9 1.0731 20.183 0.053 19.702 0.034 19.263 0.022 19.162 0.022 19.053 0.060  0.000 -9.000 -24.781
020104.28-101002.5 0.9055 19.111 0.027 18.881 0.032 18.758 0.020 18.745 0.019 18.641 0.044  0.000 -9.000 -24.787
020105.14+000617.9 1.2112 18.542 0.023 18.299 0.012 17.890 0.019 17.830 0.018 17.906 0.029  0.000 -9.000 -26.417
020105.80-002055.8 1.1181 20.701 0.075 20.495 0.037 20.215 0.026 20.183 0.033 19.880 0.079  0.000 -9.000 -23.866
020105.86-001959.5 2.8001 20.557 0.069 19.694 0.033 19.490 0.020 19.456 0.025 19.238 0.048 16.090 -9.000 -26.721
020106.18-005654.6 0.7045 20.648 0.066 20.108 0.032 19.985 0.040 19.905 0.029 19.613 0.067  0.000 -9.000 -23.027
020106.89-000805.0 1.7145 20.079 0.045 19.978 0.034 19.932 0.036 19.611 0.025 19.541 0.061  0.000 -9.000 -25.450
020108.75-075735.5 1.0709 19.331 0.032 19.177 0.038 18.920 0.047 18.945 0.026 19.092 0.069  0.000 -9.000 -24.993
020113.40+001309.8 1.2492 19.953 0.041 20.195 0.032 19.791 0.023 19.809 0.030 19.907 0.094  0.000 -9.000 -24.504
020113.52-002723.9 0.6030 19.016 0.028 18.659 0.023 18.764 0.027 18.727 0.042 18.726 0.035  0.000 -9.000 -23.827
020114.32-090959.4 2.0046 19.109 0.033 19.012 0.023 18.851 0.026 18.645 0.042 18.565 0.044  0.000 -9.000 -26.772
020115.53+003135.0 0.3624 18.633 0.022 18.579 0.020 18.608 0.028 18.732 0.023 17.872 0.023  0.000 -9.000 -22.586
020117.54-095613.4 1.5862 19.324 0.027 19.050 0.024 18.933 0.033 18.665 0.025 18.708 0.062  0.000 -9.000 -26.202
020117.99+133001.4 1.3299 19.520 0.030 19.427 0.021 18.967 0.020 18.817 0.020 18.708 0.043 -1.000 -9.000 -25.727
020118.67-091935.7 0.6608 17.927 0.022 17.588 0.014 17.612 0.023 17.619 0.019 17.665 0.021  0.000 -9.000 -25.149
020119.22+001316.8 1.8137 22.485 0.303 21.470 0.053 20.784 0.037 20.099 0.034 19.950 0.096  0.000 -9.000 -25.090
020121.31+131124.5 2.0229 20.411 0.061 20.114 0.022 19.739 0.026 19.421 0.035 19.004 0.055 -1.000 -9.000 -26.108
020121.68-085616.7 1.1645 19.568 0.035 19.632 0.018 19.322 0.025 19.275 0.029 19.445 0.091  0.000 -9.000 -24.868
020122.76-000248.2 1.5090 19.818 0.036 19.681 0.028 19.475 0.024 19.219 0.034 19.303 0.052  0.000 -9.000 -25.541
020127.16+143722.0 1.4500 20.363 0.055 20.082 0.025 19.835 0.025 19.681 0.036 19.617 0.082 -1.000 -9.000 -25.039
020127.63-000108.6 1.9339 19.531 0.030 19.526 0.027 19.391 0.024 19.259 0.034 19.188 0.049  0.000 -9.000 -26.078
020129.37+004623.5 1.7714 19.777 0.032 19.659 0.026 19.591 0.024 19.234 0.025 19.359 0.050  0.000 -9.000 -25.896
020134.65-010317.2 1.0213 18.643 0.024 18.634 0.032 18.419 0.013 18.445 0.020 18.515 0.030  0.000 -9.000 -25.393
020135.25+004111.9 1.8872 20.426 0.050 20.363 0.030 20.312 0.030 20.036 0.033 20.083 0.083  0.000 -9.000 -25.239
020136.97-003337.2 1.6941 20.505 0.068 20.362 0.030 20.257 0.034 20.084 0.047 19.969 0.080  0.000 -9.000 -24.951
020138.35+003948.5 1.3055 20.204 0.058 20.188 0.028 19.911 0.026 19.960 0.032 20.030 0.079  0.000 -9.000 -24.450
020141.61+145026.5 1.7001 18.449 0.021 18.112 0.023 17.970 0.020 17.730 0.018 17.640 0.026 -1.000 -9.000 -27.367
020142.27+144744.5 1.1903 18.925 0.024 18.698 0.023 18.342 0.021 18.234 0.019 18.251 0.035 -1.000 -9.000 -26.016
020143.48+003222.8 2.2972 20.088 0.042 19.467 0.019 19.514 0.019 19.452 0.025 19.204 0.047  0.000 -9.000 -26.273
020144.32+123924.1 1.4191 20.536 0.058 20.279 0.028 20.006 0.026 19.917 0.033 19.899 0.131 -1.000 -9.000 -24.803
020146.20-005415.5 2.2446 19.941 0.045 19.423 0.037 19.350 0.035 19.162 0.026 18.973 0.043  0.000 -9.000 -26.525
020146.33+001940.6 1.3640 19.881 0.040 19.813 0.031 19.674 0.023 19.593 0.029 19.730 0.078  0.000 -9.000 -24.932
020152.53-094733.4 4.0389 23.995 1.202 21.871 0.088 20.154 0.037 20.094 0.035 20.282 0.160  0.000 -9.000 -26.872
020156.03+125032.6 1.1477 20.309 0.057 19.844 0.023 19.363 0.023 19.203 0.022 19.051 0.048 -1.000 -9.000 -25.009
020158.67+141150.3 1.9830 20.619 0.059 20.336 0.026 20.221 0.031 19.897 0.036 19.760 0.079 -1.000 -9.000 -25.605
020159.25+144535.3 1.7332 20.277 0.050 20.044 0.028 20.033 0.030 19.691 0.033 19.683 0.105 -1.000 -9.000 -25.438
020159.56-001417.5 1.0237 20.581 0.068 20.605 0.065 20.249 0.029 20.465 0.038 20.285 0.109  0.000 -9.000 -23.366
020200.06-000921.2 1.3599 19.730 0.033 19.764 0.022 19.573 0.021 19.523 0.029 19.657 0.068  0.000 -9.000 -24.990
020200.18-005617.0 1.1503 19.197 0.041 18.957 0.031 18.796 0.021 18.714 0.020 18.714 0.035  0.000 -9.000 -25.411
020200.62+142749.7 1.9066 19.756 0.037 19.678 0.022 19.665 0.027 19.394 0.026 19.394 0.061 -1.000 -9.000 -25.964
020202.64-001009.2 2.8954 21.851 0.162 20.218 0.026 19.944 0.024 19.919 0.033 19.859 0.082  0.000 -9.000 -26.329
020203.09+000701.4 1.0258 19.783 0.040 19.656 0.021 19.412 0.021 19.438 0.021 19.419 0.065  0.000 -9.000 -24.393
020203.77-000306.0 2.2822 20.767 0.069 20.243 0.025 20.133 0.026 20.139 0.035 19.928 0.083  0.000 -9.000 -25.572
020204.14+003828.0 2.9856 21.934 0.166 20.471 0.029 20.060 0.032 20.068 0.034 20.114 0.090  0.000 -9.000 -26.241
020204.48-010549.9 2.0873 20.693 0.067 20.389 0.055 20.408 0.029 20.212 0.033 20.035 0.089  0.000 -9.000 -25.307
020206.89+143447.0 1.0723 18.893 0.025 18.749 0.020 18.429 0.023 18.430 0.019 18.553 0.035 -1.000 -9.000 -25.559
020207.11+010151.1 0.7597 20.748 0.079 20.371 0.026 20.242 0.025 20.019 0.033 19.681 0.076  0.000 -9.000 -23.093
020208.36-080856.9 1.9056 19.529 0.035 19.395 0.025 19.323 0.025 19.062 0.022 19.066 0.061  0.000 -9.000 -26.236
020210.23+123027.6 1.1197 19.734 0.031 19.331 0.019 18.975 0.016 18.863 0.017 18.917 0.045 -1.000 -9.000 -25.344
020210.97-002225.7 3.6244 23.843 0.784 21.010 0.047 19.996 0.032 19.953 0.028 20.050 0.091  0.000 -9.000 -26.787
020211.33-100347.0 1.6915 19.515 0.032 19.287 0.025 19.258 0.023 19.020 0.031 19.119 0.069 13.929 -9.000 -25.997
020211.63+002312.6 2.1143 19.492 0.033 19.546 0.025 19.652 0.024 19.439 0.026 19.126 0.051  0.000 -9.000 -26.102
020212.46-001923.5 0.7408 19.584 0.040 19.403 0.037 19.202 0.028 19.123 0.017 18.875 0.038  0.000 -9.000 -23.925
020214.33+010536.6 0.6793 19.735 0.036 19.294 0.044 19.296 0.025 19.245 0.026 19.131 0.049  0.000 -9.000 -23.595
020215.06-001557.6 0.6763 19.729 0.043 19.480 0.039 19.467 0.029 19.439 0.020 19.343 0.052  0.000 -9.000 -23.384
020216.40+010913.5 0.8286 19.862 0.039 19.566 0.045 19.441 0.026 19.383 0.027 19.271 0.056  0.000 -9.000 -23.939
020217.84+001441.5 1.6906 20.875 0.078 20.557 0.032 20.316 0.030 19.916 0.030 19.912 0.098  0.000 -9.000 -25.108
020218.47+133852.8 0.9783 20.442 0.054 20.328 0.026 20.019 0.025 19.999 0.033 19.781 0.099 -1.000 -9.000 -23.852
020219.17-004103.5 2.2679 20.457 0.068 19.965 0.029 20.077 0.030 19.915 0.031 19.657 0.064  0.000 -9.000 -25.789
020222.00+010557.1 0.5013 18.808 0.023 18.626 0.044 18.680 0.023 18.605 0.023 18.493 0.034  0.000 -9.000 -23.496
020223.64+001855.8 0.3669 18.990 0.025 18.878 0.024 18.946 0.021 18.926 0.024 18.520 0.035  0.000 -9.000 -22.421
020228.72-005446.1 1.3026 20.194 0.059 20.221 0.030 19.828 0.027 19.785 0.037 19.909 0.085  0.000 -9.000 -24.633
020230.66-075341.2 1.7217 19.174 0.026 18.986 0.015 18.955 0.042 18.674 0.031 18.597 0.049  0.000 -9.000 -26.388
020233.00+001645.9 3.4993 24.535 1.014 20.845 0.036 20.055 0.028 19.793 0.026 19.752 0.087  0.000 -9.000 -26.870
020234.32+000301.7 0.3664 18.932 0.027 18.757 0.019 18.745 0.019 18.596 0.016 18.135 0.026 12.411 -9.000 -22.743
020236.54-095902.6 1.2324 19.130 0.028 18.974 0.029 18.684 0.029 18.564 0.040 18.678 0.048  0.000 -9.000 -25.708
020237.37+142532.8 1.3453 19.703 0.036 19.648 0.026 19.535 0.028 19.603 0.028 19.847 0.090 -1.000 -9.000 -24.951
020240.71-001438.5 1.9507 19.754 0.045 19.788 0.028 19.750 0.017 19.682 0.026 19.467 0.056  0.000 -9.000 -25.668
020242.38+010459.1 1.3173 19.708 0.046 19.742 0.027 19.511 0.020 19.473 0.024 19.511 0.065  0.000 -9.000 -24.963
020244.74-101335.5 0.3641 19.916 0.044 19.675 0.022 19.205 0.016 18.951 0.025 18.637 0.039 -1.000 -9.000 -22.369
020245.78+144026.9 1.1708 19.522 0.038 19.402 0.027 19.225 0.020 19.163 0.023 19.312 0.079 -1.000 -9.000 -25.035
020247.70-084805.0 1.5981 19.796 0.044 19.387 0.088 19.326 0.041 19.089 0.022 19.089 0.072  0.000 -9.000 -25.805
020247.92-005852.1 1.3294 19.736 0.042 19.863 0.027 19.464 0.025 19.516 0.035 19.643 0.071  0.000 -9.000 -24.950
020248.74+001046.4 1.6097 22.721 0.369 21.805 0.058 20.909 0.044 20.153 0.032 19.693 0.083  0.000 -9.000 -24.756
020251.01-000917.0 0.3776 19.121 0.025 19.047 0.026 19.021 0.020 19.032 0.017 18.574 0.035  0.000 -1.735 -22.374
020251.43+003722.7 0.8700 20.433 0.053 20.181 0.033 20.000 0.021 19.951 0.038 19.741 0.071  0.000 -9.000 -23.490
020251.55+002840.1 1.2773 20.624 0.060 20.463 0.035 20.092 0.022 20.059 0.039 20.012 0.087  0.000 -9.000 -24.303
020251.83-004117.2 1.7921 20.169 0.054 20.106 0.041 20.086 0.032 19.746 0.028 19.956 0.080  0.000 -9.000 -25.421
020252.44+005107.8 2.9275 21.609 0.156 20.520 0.025 20.337 0.027 20.267 0.035 20.236 0.113  0.000 -9.000 -26.006
020254.32+011042.4 2.3666 19.612 0.046 19.149 0.025 19.151 0.019 19.162 0.022 18.949 0.044  0.000 -9.000 -26.632
020255.59-004102.9 1.4158 19.679 0.038 19.455 0.039 19.253 0.028 19.268 0.025 19.451 0.054  0.000 -9.000 -25.347
020256.11+124928.0 1.3405 19.345 0.030 19.012 0.029 18.380 0.014 18.261 0.016 18.224 0.028 -1.000 -9.000 -26.332
020257.25-005330.1 1.8419 19.757 0.040 19.527 0.025 19.404 0.025 19.110 0.032 19.025 0.043  0.000 -9.000 -26.120
020258.37+141326.6 1.3361 20.322 0.050 20.263 0.028 20.066 0.027 19.915 0.036 20.088 0.137 -1.000 -9.000 -24.656
020258.94-002807.5 0.3395 20.454 0.076 20.061 0.032 19.300 0.027 18.999 0.026 18.298 0.026  0.000 -9.000 -22.161
020259.34+005307.4 2.3415 20.872 0.087 20.190 0.022 20.080 0.023 20.035 0.030 19.916 0.087  0.000 -9.000 -25.740
020259.50-093925.4 1.3308 19.598 0.040 19.457 0.027 19.162 0.018 19.027 0.020 19.069 0.052  0.000 -9.000 -25.435
020300.07-092937.1 1.7902 19.186 0.040 18.987 0.027 18.961 0.044 18.720 0.021 18.725 0.046  0.000 -9.000 -26.437
020300.81-005800.5 1.8218 20.314 0.049 20.200 0.038 20.097 0.026 19.813 0.030 19.843 0.087  0.000 -9.000 -25.391
020301.39+135234.8 0.7665 19.737 0.034 19.399 0.023 19.414 0.020 19.442 0.026 19.163 0.081 -1.000 -9.000 -23.865
020303.12-001022.2 1.9555 19.366 0.026 19.532 0.036 19.500 0.023 19.314 0.022 19.023 0.045  0.000 -9.000 -26.039
020304.19-090442.6 2.0102 19.459 0.039 19.406 0.037 19.209 0.057 19.119 0.031 18.884 0.059  0.000 -9.000 -26.305
020306.01+010432.8 1.8527 20.755 0.077 20.665 0.043 20.352 0.031 19.915 0.031 19.768 0.080  0.000 -9.000 -25.321
020307.15-010718.2 2.3173 20.565 0.057 20.113 0.035 19.991 0.023 20.000 0.030 19.842 0.075  0.000 -9.000 -25.756
020308.54+005626.0 3.0534 23.577 0.763 20.655 0.028 20.401 0.028 20.273 0.036 20.204 0.114  0.000 -9.000 -26.094
020309.21-004912.6 0.5535 19.298 0.031 18.832 0.038 18.864 0.027 18.609 0.023 18.609 0.031  0.000 -9.000 -23.740
020310.10+011327.9 1.6745 20.029 0.048 19.782 0.038 19.607 0.025 19.350 0.026 19.425 0.065  0.000 -9.000 -25.652
020310.88-005337.4 1.2538 20.404 0.053 20.449 0.040 20.145 0.026 20.040 0.033 19.942 0.093  0.000 -9.000 -24.287
020312.50-001304.1 1.4402 19.868 0.047 19.711 0.028 19.498 0.016 19.348 0.024 19.349 0.051  0.000 -9.000 -25.295
020313.92+124702.7 1.8544 19.102 0.026 19.023 0.029 18.833 0.015 18.544 0.017 18.418 0.031 -1.000 -9.000 -26.814
020314.42-080830.8 2.1750 19.822 0.040 19.448 0.021 19.357 0.039 19.216 0.024 18.974 0.053  0.000 -9.000 -26.381
020316.26+134632.0 1.8960 20.403 0.053 20.044 0.025 19.632 0.022 19.224 0.024 18.989 0.072 -1.000 -9.000 -26.239
020316.37-074832.1 3.3026 22.985 0.532 19.514 0.019 19.088 0.033 19.064 0.023 19.074 0.077  0.000 -9.000 -27.469
020317.21-010122.8 1.7252 20.225 0.048 20.041 0.037 19.874 0.024 19.588 0.028 19.579 0.072  0.000 -9.000 -25.489
020317.89+131013.7 0.9677 19.375 0.026 19.194 0.019 18.936 0.017 19.057 0.020 18.970 0.043 -1.000 -9.000 -24.752
020319.10-080800.6 1.7401 19.781 0.042 19.438 0.021 19.315 0.039 18.977 0.022 18.940 0.052  0.000 -9.000 -26.106
020319.87-082811.5 0.4356 19.726 0.037 19.491 0.018 19.382 0.019 19.197 0.022 18.947 0.048  0.000 -9.000 -22.555
020319.92+002240.7 1.0663 19.398 0.029 19.354 0.021 19.135 0.024 19.159 0.022 19.300 0.063  0.000 -9.000 -24.772
020322.14+005443.6 1.1875 19.270 0.038 19.108 0.024 18.761 0.018 18.737 0.019 18.928 0.040  0.000 -9.000 -25.451
020323.59-002259.3 1.3261 20.362 0.055 20.706 0.029 20.318 0.025 20.344 0.038 20.276 0.110  0.000 -9.000 -24.107
020326.46-003953.9 4.1463 23.935 1.042 20.934 0.040 19.562 0.027 19.242 0.024 19.094 0.042  0.000 -9.000 -27.789
020326.98+003744.4 1.5851 20.771 0.069 20.545 0.038 20.511 0.028 20.189 0.036 20.310 0.109 11.999 -9.000 -24.686
020327.29+003938.1 2.2833 19.317 0.027 18.639 0.043 18.597 0.026 18.450 0.017 18.177 0.029  0.000 -9.000 -27.266
020327.40-001626.0 1.0214 20.006 0.044 19.996 0.021 19.760 0.018 19.828 0.030 19.911 0.080  0.000 -9.000 -23.994
020328.34+004222.2 2.1730 21.192 0.091 20.688 0.049 20.624 0.039 20.434 0.040 20.171 0.103  0.000 -9.000 -25.169
020329.86-091020.4 1.5804 18.602 0.025 18.336 0.032 18.171 0.044 18.003 0.021 17.979 0.028  0.000 -9.000 -26.862
020331.28+005741.6 1.9977 20.517 0.069 20.579 0.032 20.431 0.030 20.334 0.039 19.943 0.093  0.000 -9.000 -25.074
020332.21-011525.8 0.5910 18.854 0.027 18.590 0.019 18.693 0.016 18.595 0.021 18.651 0.036  0.000 -1.681 -23.912
020334.20-004438.0 1.9267 20.658 0.081 20.363 0.027 19.982 0.029 19.679 0.027 19.562 0.059  0.000 -9.000 -25.653
020334.94+005955.6 2.0300 21.313 0.124 20.536 0.032 20.255 0.028 20.063 0.033 19.850 0.087  0.000 -9.000 -25.382
020336.92-095014.2 1.3016 18.001 0.015 18.017 0.022 17.742 0.016 17.722 0.014 17.778 0.029  0.000 -9.000 -26.679
020338.06+005812.6 1.1904 20.145 0.055 20.165 0.029 19.968 0.024 19.910 0.030 19.983 0.096  0.000 -9.000 -24.281
020339.60-010725.2 0.9880 20.241 0.050 19.938 0.024 19.672 0.020 19.680 0.027 19.651 0.064  0.000 -9.000 -24.073
020340.21-002238.4 1.9104 20.482 0.060 20.282 0.024 20.218 0.024 19.972 0.032 19.653 0.067  0.000 -9.000 -25.334
020340.40-000201.8 1.7431 19.252 0.029 19.316 0.029 19.232 0.020 18.946 0.019 19.003 0.047  0.000 -9.000 -26.145
020340.94-092134.1 0.5477 19.466 0.039 19.228 0.051 19.345 0.021 19.141 0.054 19.330 0.067  0.000 -9.000 -23.173
020341.08+005858.3 0.7432 19.759 0.044 19.404 0.025 19.161 0.019 19.024 0.020 18.887 0.040  0.000 -9.000 -24.028
020341.34-000235.1 1.9834 20.159 0.047 20.008 0.029 19.878 0.024 19.718 0.024 19.414 0.059  0.000 -9.000 -25.671
020350.47-000751.2 1.6187 19.913 0.041 19.553 0.027 19.436 0.021 19.250 0.020 19.255 0.053  0.000 -9.000 -25.665
020351.49+001051.3 0.5590 20.696 0.072 20.290 0.021 20.228 0.024 19.942 0.027 19.771 0.085  0.000 -9.000 -22.424
020353.69-090100.3 1.6536 19.952 0.042 19.648 0.038 19.122 0.038 18.576 0.020 18.399 0.042  0.000 -9.000 -26.394
020355.16+000139.6 0.5475 22.658 0.373 21.506 0.046 20.943 0.037 20.066 0.029 19.694 0.081  0.000 -9.000 -22.245
020355.70+125704.8 1.7113 20.242 0.056 20.018 0.036 19.935 0.029 19.599 0.033 19.617 0.102 -1.000 -9.000 -25.571
020356.30+124059.3 1.5991 20.222 0.046 19.829 0.024 19.641 0.020 19.303 0.030 19.275 0.083 -1.000 -9.000 -25.752
020357.29+003310.6 1.7723 19.497 0.031 19.483 0.026 19.574 0.025 19.256 0.024 19.227 0.048  0.000 -9.000 -25.876
020357.96+140745.9 1.6539 19.671 0.031 19.551 0.026 19.322 0.021 18.968 0.018 18.870 0.043 -1.000 -9.000 -26.132
020400.31+003452.5 1.1813 20.777 0.067 20.796 0.037 20.455 0.033 20.462 0.043 20.406 0.121  0.000 -9.000 -23.713
020403.07+002452.9 0.4351 20.813 0.082 20.344 0.027 19.993 0.025 19.557 0.029 19.206 0.056  0.000 -9.000 -22.200
020405.90+141902.8 0.9460 20.290 0.050 20.041 0.025 19.827 0.023 19.852 0.036 19.590 0.090 -1.000 -9.000 -23.878
020406.70+010733.8 2.8922 22.369 0.278 21.254 0.042 20.486 0.032 19.711 0.029 19.420 0.061  0.000 -9.000 -26.536
020407.45+132739.5 2.0523 20.513 0.058 20.285 0.031 20.165 0.028 20.029 0.036 19.928 0.130 -1.000 -9.000 -25.554
020409.04-085212.9 1.9500 19.576 0.035 19.261 0.030 19.222 0.021 19.106 0.019 19.006 0.059  0.000 -9.000 -26.248
020410.18-010305.7 2.0110 19.984 0.043 19.911 0.023 19.840 0.019 19.744 0.025 19.465 0.056  0.000 -9.000 -25.686
020410.18-000622.6 1.7672 21.187 0.101 20.371 0.032 19.634 0.022 19.397 0.021 19.406 0.058  0.000 -9.000 -25.726
020413.08-090818.9 0.7040 18.320 0.017 17.946 0.036 17.850 0.036 17.825 0.018 17.719 0.030  0.000 -9.000 -25.098
020413.64+003210.8 1.3857 19.756 0.035 19.658 0.027 19.423 0.025 19.407 0.025 19.492 0.058  0.000 -9.000 -25.149
020413.80+005829.1 0.7482 21.250 0.115 20.895 0.042 20.854 0.038 20.931 0.063 20.378 0.136  0.000 -9.000 -22.137
020415.36+004412.3 0.6776 19.607 0.043 19.254 0.026 19.164 0.017 19.074 0.027 19.185 0.042  0.000 -9.000 -23.759
020418.60-074928.1 1.1871 18.821 0.020 18.683 0.028 18.517 0.025 18.503 0.023 18.604 0.047  0.000 -9.000 -25.676
020419.37+143928.3 2.1700 19.059 0.032 18.886 0.029 18.717 0.020 18.520 0.021 18.415 0.041 -1.000 -9.000 -27.131
020421.41+001311.4 0.9321 19.430 0.033 19.340 0.027 19.280 0.027 19.264 0.021 19.164 0.052  0.000 -9.000 -24.344
020422.63+005951.2 1.8273 19.615 0.035 19.453 0.032 19.408 0.020 19.158 0.024 19.100 0.049  0.000 -9.000 -26.042
020426.23-010140.2 1.8184 19.045 0.024 19.070 0.050 18.962 0.017 18.599 0.017 18.585 0.034  0.000 -9.000 -26.598
020427.80-011239.5 3.9370 22.734 0.344 20.891 0.041 19.644 0.018 19.520 0.023 19.387 0.054  0.000 -9.000 -27.400
020428.35+133652.6 1.1590 19.528 0.029 19.505 0.020 19.186 0.015 19.177 0.025 19.394 0.071 -1.000 -9.000 -25.076
